umbral,reservas_marcadas,cancelaciones_detectadas,falsas_alarmas,cancelaciones_perdidas,precision,recall,f1
0.05,9061,3562,5499,33,0.3931133428981349,0.9908205841446454,0.5628950695322378
0.1,8095,3477,4618,118,0.42952439777640516,0.9671766342141863,0.5948674080410606
0.15,7258,3357,3901,238,0.46252411132543403,0.9337969401947149,0.6186307933290335
0.2,6426,3182,3244,413,0.4951758481170246,0.8851182197496523,0.6350663606426504
0.25,5722,3028,2694,567,0.5291855994407549,0.8422809457579972,0.6499946334657077
0.3,5067,2861,2206,734,0.5646339056641011,0.795827538247566,0.6605864696374971
0.35,4470,2675,1795,920,0.598434004474273,0.7440890125173852,0.6633601983880968
0.4,3902,2442,1460,1153,0.6258329062019478,0.6792767732962448,0.6514605842336935
0.45,3359,2220,1139,1375,0.6609109854123251,0.6175243393602226,0.638481449525453
0.5,2910,2005,905,1590,0.6890034364261168,0.5577190542420027,0.6164488854727133
0.55,2483,1790,693,1805,0.7209021345147,0.49791376912378305,0.5890095426127017
0.6,2089,1578,511,2017,0.755385351842987,0.43894297635605006,0.5552427867698804
0.65,1697,1334,363,2261,0.7860931054802592,0.3710709318497914,0.5041572184429327
0.7,1348,1090,258,2505,0.8086053412462908,0.3031988873435327,0.4410277159619664
0.75,1037,872,165,2723,0.840887174541948,0.24255910987482615,0.37651122625215894
0.8,759,654,105,2941,0.8616600790513834,0.1819193324061196,0.30041341295360585
0.85,495,445,50,3150,0.898989898989899,0.12378303198887343,0.21760391198044005
0.9,258,239,19,3356,0.9263565891472868,0.06648122392211404,0.12405917466908901
0.95,79,76,3,3519,0.9620253164556962,0.02114047287899861,0.04137180185084377
